Date,State,Latitude,Longitude,Confirmed,Active,Deaths,Mortality_rate,Cured,Recovery_rate
2020/03/11,Karnataka,15.3173,75.7139,4,4,0,0.0,0,0.0
2020/03/11,Kerala,10.8505,76.2711,17,14,0,0.0,3,0.1764705882352941
2020/03/11,Maharashtra,19.7515,75.7139,10,10,0,0.0,0,0.0
2020/03/11,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/11,Rajasthan,27.0238,74.2179,3,3,0,0.0,0,0.0
2020/03/11,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/11,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
2020/03/11,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
2020/03/11,Ladakh,34.2996,78.2932,2,2,0,0.0,0,0.0
2020/03/11,Uttar Pradesh,26.8467,80.9462,9,9,0,0.0,0,0.0
2020/03/12,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/12,Delhi,28.7041,77.1025,6,6,0,0.0,0,0.0
2020/03/12,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
2020/03/12,Karnataka,15.3173,75.7139,4,3,1,0.25,0,0.0
2020/03/12,Kerala,10.8505,76.2711,17,14,0,0.0,3,0.1764705882352941
2020/03/12,Maharashtra,19.7515,75.7139,11,11,0,0.0,0,0.0
2020/03/12,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/12,Rajasthan,27.0238,74.2179,3,3,0,0.0,0,0.0
2020/03/12,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/12,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
2020/03/12,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
2020/03/12,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
2020/03/12,Uttar Pradesh,26.8467,80.9462,11,11,0,0.0,0,0.0
2020/03/13,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/13,Delhi,28.7041,77.1025,6,6,0,0.0,0,0.0
2020/03/13,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
2020/03/13,Karnataka,15.3173,75.7139,5,4,1,0.2,0,0.0
2020/03/13,Kerala,10.8505,76.2711,17,14,0,0.0,3,0.1764705882352941
2020/03/13,Maharashtra,19.7515,75.7139,11,11,0,0.0,0,0.0
2020/03/13,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/13,Rajasthan,27.0238,74.2179,3,3,0,0.0,0,0.0
2020/03/13,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/13,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
2020/03/13,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
2020/03/13,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
2020/03/13,Uttar Pradesh,26.8467,80.9462,11,11,0,0.0,0,0.0
2020/03/14,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/14,Delhi,28.7041,77.1025,7,5,1,0.1428571428571428,1,0.1428571428571428
2020/03/14,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
2020/03/14,Karnataka,15.3173,75.7139,6,5,1,0.1666666666666666,0,0.0
2020/03/14,Kerala,10.8505,76.2711,19,16,0,0.0,3,0.1578947368421052
2020/03/14,Maharashtra,19.7515,75.7139,14,14,0,0.0,0,0.0
2020/03/14,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/14,Rajasthan,27.0238,74.2179,3,2,0,0.0,1,0.3333333333333333
2020/03/14,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/14,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
2020/03/14,Jammu and Kashmir,33.7782,76.5762,2,2,0,0.0,0,0.0
2020/03/14,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
2020/03/14,Uttar Pradesh,26.8467,80.9462,12,7,0,0.0,5,0.4166666666666667
2020/03/15,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/15,Delhi,28.7041,77.1025,7,4,1,0.1428571428571428,2,0.2857142857142857
2020/03/15,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
2020/03/15,Karnataka,15.3173,75.7139,6,5,1,0.1666666666666666,0,0.0
2020/03/15,Kerala,10.8505,76.2711,23,20,0,0.0,3,0.1304347826086956
2020/03/15,Maharashtra,19.7515,75.7139,32,32,0,0.0,0,0.0
2020/03/15,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/15,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
2020/03/15,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/15,Telengana,18.1124,79.0193,3,2,0,0.0,1,0.3333333333333333
2020/03/15,Jammu and Kashmir,33.7782,76.5762,2,2,0,0.0,0,0.0
2020/03/15,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
2020/03/15,Uttar Pradesh,26.8467,80.9462,13,9,0,0.0,4,0.3076923076923077
2020/03/15,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
2020/03/16,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/16,Delhi,28.7041,77.1025,7,4,1,0.1428571428571428,2,0.2857142857142857
2020/03/16,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
2020/03/16,Karnataka,15.3173,75.7139,6,5,1,0.1666666666666666,0,0.0
2020/03/16,Kerala,10.8505,76.2711,23,20,0,0.0,3,0.1304347826086956
2020/03/16,Maharashtra,19.7515,75.7139,32,32,0,0.0,0,0.0
2020/03/16,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
2020/03/16,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/16,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
2020/03/16,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/16,Telengana,18.1124,79.0193,3,2,0,0.0,1,0.3333333333333333
2020/03/16,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
2020/03/16,Ladakh,34.2996,78.2932,4,4,0,0.0,0,0.0
2020/03/16,Uttar Pradesh,26.8467,80.9462,13,9,0,0.0,4,0.3076923076923077
2020/03/16,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
2020/03/17,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/17,Delhi,28.7041,77.1025,8,5,1,0.125,2,0.25
2020/03/17,Haryana,29.0588,76.0856,15,15,0,0.0,0,0.0
2020/03/17,Karnataka,15.3173,75.7139,11,10,1,0.0909090909090909,0,0.0
2020/03/17,Kerala,10.8505,76.2711,26,23,0,0.0,3,0.1153846153846153
2020/03/17,Maharashtra,19.7515,75.7139,39,38,1,0.0256410256410256,0,0.0
2020/03/17,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
2020/03/17,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/17,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
2020/03/17,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/17,Telengana,18.1124,79.0193,5,4,0,0.0,1,0.2
2020/03/17,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
2020/03/17,Ladakh,34.2996,78.2932,6,6,0,0.0,0,0.0
2020/03/17,Uttar Pradesh,26.8467,80.9462,15,10,0,0.0,5,0.3333333333333333
2020/03/17,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
2020/03/18,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
2020/03/18,Delhi,28.7041,77.1025,10,7,1,0.1,2,0.2
2020/03/18,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
2020/03/18,Karnataka,15.3173,75.7139,11,10,1,0.0909090909090909,0,0.0
2020/03/18,Kerala,10.8505,76.2711,27,24,0,0.0,3,0.1111111111111111
2020/03/18,Maharashtra,19.7515,75.7139,42,41,1,0.0238095238095238,0,0.0
2020/03/18,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
2020/03/18,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/18,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
2020/03/18,Rajasthan,27.0238,74.2179,4,1,0,0.0,3,0.75
2020/03/18,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
2020/03/18,Telengana,18.1124,79.0193,6,5,0,0.0,1,0.1666666666666666
2020/03/18,Jammu and Kashmir,33.7782,76.5762,3,3,0,0.0,0,0.0
2020/03/18,Ladakh,34.2996,78.2932,8,8,0,0.0,0,0.0
2020/03/18,Uttar Pradesh,26.8467,80.9462,16,11,0,0.0,5,0.3125
2020/03/18,Uttarakhand,30.0668,79.0193,1,1,0,0.0,0,0.0
2020/03/18,West Bengal,22.9868,87.855,1,1,0,0.0,0,0.0
2020/03/19,Andhra Pradesh,15.9129,79.74,2,2,0,0.0,0,0.0
2020/03/19,Chhattisgarh,21.2787,81.8661,1,1,0,0.0,0,0.0
2020/03/19,Delhi,28.7041,77.1025,12,8,1,0.0833333333333333,3,0.25
2020/03/19,Haryana,29.0588,76.0856,17,17,0,0.0,0,0.0
2020/03/19,Karnataka,15.3173,75.7139,14,13,1,0.0714285714285714,0,0.0
2020/03/19,Kerala,10.8505,76.2711,27,24,0,0.0,3,0.1111111111111111
2020/03/19,Maharashtra,19.7515,75.7139,47,46,1,0.0212765957446808,0,0.0
2020/03/19,Odisha,20.9517,85.0985,1,1,0,0.0,0,0.0
2020/03/19,Puducherry,11.9416,79.8083,1,1,0,0.0,0,0.0
2020/03/19,Punjab,31.1471,75.3412,2,1,1,0.5,0,0.0
